time, power, status
3600.631, 9.79e-09, 0.00
3600.956, 9.77e-09, 0.00
3601.283, 1.34e-08, 0.00
3601.710, 9.73e-09, 0.00
3602.033, 1.38e-08, 0.00
3602.369, 1.07e-08, 0.00
3602.691, 1.36e-08, 0.00
3603.027, 1.04e-08, 0.00
3603.467, 1.06e-08, 0.00
3603.811, 1.01e-08, 0.00
3604.147, 1.08e-08, 0.00
3604.543, 9.80e-09, 0.00
3604.992, 8.42e-09, 0.00
3605.416, 8.48e-09, 0.00
3605.741, 1.19e-08, 0.00
3606.077, 8.45e-09, 0.00
3606.520, 8.38e-09, 0.00
3606.870, 8.44e-09, 0.00
3607.190, 1.14e-08, 0.00
3607.592, 1.35e-08, 0.00
3607.927, 1.31e-08, 0.00
3608.245, 1.13e-08, 0.00
3608.585, 1.12e-08, 0.00
3608.997, 1.14e-08, 0.00
3609.340, 8.29e-09, 0.00
3609.771, 1.08e-08, 0.00
3610.110, 1.15e-08, 0.00
3610.448, 1.10e-08, 0.00
3610.773, 1.34e-08, 0.00
3611.091, 1.12e-08, 0.00
3611.427, 1.10e-08, 0.00
3611.769, 1.35e-08, 0.00
3612.209, 1.24e-08, 0.00
3612.526, 1.53e-08, 0.00
3612.868, 1.97e-08, 0.00
3613.205, 1.24e-08, 0.00
3613.541, 1.36e-08, 0.00
3613.984, 1.16e-08, 0.00
3614.402, 1.24e-08, 0.00
3614.725, 1.13e-08, 0.00
3615.061, 8.28e-09, 0.00
3615.385, 1.19e-08, 0.00
3615.726, 8.34e-09, 0.00
3616.050, 1.16e-08, 0.00
3616.386, 1.33e-08, 0.00
3616.728, 1.14e-08, 0.00
3617.065, 8.34e-09, 0.00
3617.509, 8.34e-09, 0.00
3617.859, 8.46e-09, 0.00
3618.177, 1.16e-08, 0.00
3618.525, 1.16e-08, 0.00
3618.936, 8.51e-09, 0.00
3619.261, 1.19e-08, 0.00
3619.605, 8.64e-09, 0.00
3620.049, 8.82e-09, 0.00
3620.476, 1.00e-08, 0.00
3620.798, 1.37e-08, 0.00
3621.134, 9.91e-09, 0.00
3621.580, 1.04e-08, 0.00
3621.918, 1.36e-08, 0.00
3622.254, 1.36e-08, 0.00
3622.655, 9.98e-09, 0.00
3622.979, 1.04e-08, 0.00
3623.315, 9.75e-09, 0.00
3623.744, 8.38e-09, 0.00
3624.067, 1.33e-08, 0.00
3624.403, 8.37e-09, 0.00
3624.751, 1.18e-08, 0.00
3625.068, 8.54e-09, 0.00
3625.431, 8.81e-09, 0.00
3625.756, 1.32e-08, 0.00
3626.172, 1.01e-08, 0.00
3626.595, 1.05e-08, 0.00
3626.931, 1.36e-08, 0.00
3627.248, 1.04e-08, 0.00
3627.610, 1.04e-08, 0.00
3627.998, 1.37e-08, 0.00
3628.342, 9.61e-09, 0.00
3628.773, 8.44e-09, 0.00
3629.099, 1.21e-08, 0.00
3629.437, 8.35e-09, 0.00
3629.788, 2.04e-08, 0.00
3630.124, 8.42e-09, 0.00
3630.527, 2.04e-08, 0.00
3630.850, 1.22e-08, 0.00
3631.186, 1.34e-08, 0.00
3631.522, 1.11e-08, 0.00
3631.949, 8.65e-09, 0.00
3632.292, 1.21e-08, 0.00
3632.633, 1.17e-08, 0.00
3632.975, 8.35e-09, 0.00
3633.295, 1.30e-08, 0.00
3633.720, 8.60e-09, 0.00
3634.163, 8.40e-09, 0.00
3634.505, 1.11e-08, 0.00
3634.846, 1.57e-08, 0.00
3635.266, 8.32e-09, 0.00
3635.696, 8.24e-09, 0.00
3636.057, 1.02e-08, 0.00
3636.393, 1.65e-08, 0.00
3636.716, 1.93e-08, 0.00
3637.052, 1.25e-08, 0.00
3637.389, 1.36e-08, 0.00
3637.806, 8.35e-09, 0.00
3638.238, 1.00e-08, 0.00
3638.604, 1.02e-08, 0.00
3638.921, 1.39e-08, 0.00
3639.341, 9.81e-09, 0.00
3639.770, 1.01e-08, 0.00
3640.208, 1.01e-08, 0.00
3640.650, 1.01e-08, 0.00
3641.071, 9.55e-09, 0.00
3641.395, 8.33e-09, 0.00
3641.743, 8.38e-09, 0.00
3642.087, 8.59e-09, 0.00
3642.407, 1.01e-08, 0.00
3642.728, 1.00e-08, 0.00
3643.045, 1.12e-08, 0.00
3643.364, 8.12e-09, 0.00
3643.769, 1.32e-08, 0.00
3644.086, 9.54e-09, 0.00
3644.450, 8.69e-09, 0.00
3644.794, 1.15e-08, 0.00
3645.190, 1.28e-08, 0.00
3645.526, 1.15e-08, 0.00
3645.868, 8.71e-09, 0.00
3646.310, 0.00e+00, 1.00
3646.636, 1.68e-08, 0.00
3646.972, 9.32e-09, 0.00
