Angle (deg),Average Power (nJ)
0.0,3.459417475728156
20.0,0.9142635658914727
40.0,1.404660194174757
60.0,2.167209302325581
80.0,3.215891472868216
100.0,4.749223300970875
120.0,6.532427184466021
140.0,9.973689320388345
160.0,14.968217054263565
180.0,21.96821705426357
200.0,78560344858.80429
220.0,40.221705426356586
240.0,47.89147286821707
260.0,70651162859.55038
280.0,73.99684210526314
300.0,75.0990291262136
320.0,72.43953488372091
340.0,72.81782945736434
