Wavelength,Intensity
194.9648667,989.0
195.23630391108566,1011.0
195.50773147432525,1058.0
195.77914938969263,970.0
196.0505576571618,995.0
196.32195627670666,995.0
196.59334524830112,1004.0
196.86472457191908,996.0
197.13609424753452,994.0
197.4074542751213,999.0
197.67880465465336,1006.0
197.9501453861046,1012.0
198.221476469449,1033.0
198.49279790466042,988.0
198.7641096917128,1002.0
199.03541183058002,1005.0
199.3067043212361,1011.0
199.5779871636549,998.0
199.84926035781032,1006.0
200.12052390367631,1014.0
200.3917778012268,1017.0
200.66302205043567,1001.0
200.93425665127685,1025.0
201.20548160372428,977.0
201.4766969077519,997.0
201.74790256333358,991.0
202.01909857044328,1002.0
202.29028492905485,1006.0
202.56146163914232,1001.0
202.83262870067955,990.0
203.10378611364044,995.0
203.37493387799896,1005.0
203.64607199372895,1016.0
203.91720046080442,968.0
204.18831927919925,987.0
204.45942844888737,991.0
204.73052796984268,999.0
205.0016178420391,1008.0
205.2726980654506,1001.0
205.54376864005107,996.0
205.81482956581436,1013.0
206.08588084271452,1008.0
206.3569224707254,1027.0
206.6279544498209,982.0
206.89897677997493,1008.0
207.1699894611615,998.0
207.44099249335446,1000.0
207.71198587652776,1004.0
207.9829696106553,998.0
208.25394369571094,987.0
208.52490813166872,1010.0
208.79586291850254,1005.0
209.0668080561862,1018.0
209.33774354469375,989.0
209.60866938399909,1009.0
209.87958557407612,1009.0
210.15049211489873,1004.0
210.42138900644082,1015.0
210.69227624867642,994.0
210.96315384157936,996.0
211.2340217851236,1000.0
211.504880079283,1006.0
211.77572872403158,1044.0
212.0465677193432,985.0
212.31739706519178,1006.0
212.58821676155122,994.0
212.8590268083955,1006.0
213.1298272056985,994.0
213.40061795343414,1001.0
213.67139905157634,990.0
213.94217050009902,1016.0
214.21293229897614,1018.0
214.48368444818158,1025.0
214.75442694768924,985.0
215.0251597974731,1003.0
215.29588299750702,995.0
215.56659654776496,1001.0
215.83730044822082,1003.0
216.10799469884853,1007.0
216.378679299622,1002.0
216.64935425051522,1013.0
216.92001955150198,1013.0
217.19067520255626,1031.0
217.46132120365203,985.0
217.73195755476314,1017.0
218.00258425586358,999.0
218.27320130692718,1000.0
218.54380870792792,1010.0
218.81440645883973,991.0
219.0849945596365,1000.0
219.35557301029212,1003.0
219.6261418107806,1012.0
219.8967009610758,1034.0
220.16725046115164,978.0
220.43779031098202,1000.0
220.70832051054094,1014.0
220.97884105980225,1004.0
221.2493519587399,990.0
221.5198532073278,1009.0
221.79034480553983,1000.0
222.06082675335,1003.0
222.33129905073216,996.0
222.60176169766024,1024.0
222.87221469410818,965.0
223.14265804004987,988.0
223.41309173545932,988.0
223.6835157803103,1006.0
223.95393017457684,996.0
224.22433491823284,1009.0
224.4947300112522,990.0
224.76511545360884,1002.0
225.0354912452767,1008.0
225.3058573862297,1020.0
225.57621387644173,968.0
225.84656071588677,993.0
226.11689790453866,991.0
226.3872254423714,998.0
226.65754332935884,991.0
226.92785156547495,993.0
227.1981501506936,994.0
227.46843908498877,1006.0
227.7387183683344,1014.0
228.0089880007043,1034.0
228.27924798207246,982.0
228.54949831241277,1003.0
228.8197389916992,1001.0
229.08997001990565,1000.0
229.36019139700602,998.0
229.63040312297423,1004.0
229.90060519778424,1000.0
230.17079762140995,1012.0
230.44098039382527,1020.0
230.71115351500407,1040.0
230.98131698492037,979.0
231.25147080354805,1013.0
231.52161497086098,1014.0
231.79174948683314,999.0
232.06187435143846,1002.0
232.33198956465083,999.0
232.60209512644417,997.0
232.87219103679237,1005.0
233.1422772956694,995.0
233.41235390304922,1035.0
233.68242085890563,984.0
233.95247816321262,1009.0
234.22252581594412,1005.0
234.49256381707403,1017.0
234.7625921665763,1013.0
235.0326108644248,1006.0
235.30261991059345,1005.0
235.57261930505626,1007.0
235.84260904778702,1016.0
236.11258913875972,1041.0
236.3825595779483,993.0
236.65252036532667,1006.0
236.92247150086874,993.0
237.19241298454838,997.0
237.46234481633957,1013.0
237.73226699621623,1006.0
238.00217952415227,999.0
238.27208240012158,1008.0
238.54197562409814,1014.0
238.8118591960558,1024.0
239.08173311596855,974.0
239.3515973838103,1001.0
239.62145199955484,997.0
239.89129696317627,1008.0
240.16113227464845,997.0
240.43095793394528,998.0
240.70077394104064,985.0
240.97058029590852,1013.0
241.24037699852283,1013.0
241.51016404885752,1045.0
241.77994144688643,991.0
242.04970919258346,1007.0
242.31946728592266,998.0
242.58921572687785,990.0
242.85895451542294,1008.0
243.12868365153196,1002.0
243.39840313517874,1013.0
243.66811296633722,1012.0
243.9378131449813,1002.0
244.2075036710849,1030.0
244.47718454462196,987.0
244.74685576556644,1006.0
245.01651733389218,1001.0
245.28616924957313,999.0
245.55581151258326,1010.0
245.82544412289644,995.0
246.09506708048661,998.0
246.36468038532763,1013.0
246.6342840373935,1012.0
246.9038780366581,1028.0
247.1734623830954,969.0
247.44303707667922,992.0
247.71260211738357,1008.0
247.98215750518236,1002.0
248.25170324004947,988.0
248.5212393219588,1003.0
248.79076575088433,1005.0
249.06028252679997,996.0
249.32978964967967,1009.0
249.59928711949726,1033.0
249.86877493622674,979.0
250.13825309984196,1006.0
250.4077216103169,1004.0
250.67718046762548,1007.0
250.94662967174156,992.0
251.21606922263916,994.0
251.4854991202921,995.0
251.75491936467432,1004.0
252.0243299557598,1012.0
252.29373089352242,1036.0
252.5631221779361,997.0
252.83250380897474,1008.0
253.1018757866123,1007.0
253.37123811082267,1004.0
253.6405907815798,1019.0
253.9099337988576,1001.0
254.1792671626299,994.0
254.4485908728708,1004.0
254.7179049295541,1019.0
254.98720933265372,1038.0
255.25650408214364,983.0
255.52578917799767,1005.0
255.79506462018986,1006.0
256.06433040869405,1005.0
256.33358654348416,986.0
256.60283302453416,997.0
256.87206985181797,999.0
257.1412970253095,991.0
257.41051454498256,1003.0
257.6797224108112,1019.0
257.9489206227693,971.0
258.2181091808308,990.0
258.48728808496963,987.0
258.7564573351596,990.0
259.0256169313748,994.0
259.2947668735891,996.0
259.5639071617763,997.0
259.83303779591046,987.0
260.10215877596534,1003.0
260.37127010191506,1022.0
260.64037177373336,972.0
260.90946379139433,998.0
261.17854615487175,1005.0
261.4476188641396,1017.0
261.7166819191719,1007.0
261.98573531994236,992.0
262.254779066425,992.0
262.5238131585938,1003.0
262.7928375964225,1011.0
263.0618523798853,1031.0
263.33085750895583,978.0
263.59985298360823,1005.0
263.86883880381635,1009.0
264.1378149695541,1008.0
264.40678148079536,1001.0
264.675738337514,1009.0
264.94468553968426,993.0
265.2136230872796,994.0
265.48255098027425,1010.0
265.75146921864206,1024.0
266.0203778023569,978.0
266.28927673139276,1022.0
266.55816600572354,1010.0
266.8270456253231,997.0
267.09591559016536,996.0
267.3647759002244,996.0
267.63362655547394,990.0
267.90246755588805,994.0
268.17129890144054,988.0
268.4401205921055,1023.0
268.7089326278566,986.0
268.9777350086678,1001.0
269.24652773451334,1004.0
269.5153108053667,1013.0
269.7840842212021,1006.0
270.0528479819934,1021.0
270.32160208771444,1004.0
270.5903465383392,1006.0
270.8590813338416,1009.0
271.12780647419555,1022.0
271.39652195937487,977.0
271.6652277893537,996.0
271.9339239641058,994.0
272.2026104836051,995.0
272.4712873478256,990.0
272.73995455674117,1001.0
273.0086121103257,1001.0
273.2772600085531,994.0
273.54589825139743,1008.0
273.8145268388324,1023.0
274.0831457708321,982.0
274.3517550473704,1004.0
274.62035466842116,1002.0
274.88894463395843,1006.0
275.157524943956,1002.0
275.4260955983878,1010.0
275.69465659722783,1005.0
275.96320794045,995.0
276.2317496280281,1008.0
276.50028165993626,1027.0
276.76880403614825,983.0
277.03731675663806,1009.0
277.30581982137954,992.0
277.57431323034666,989.0
277.8427969835133,986.0
278.11127108085344,991.0
278.37973552234104,998.0
278.64819030794985,989.0
278.9166354376539,998.0
279.18507091142715,1026.0
279.45349672924345,997.0
279.7219128910767,1003.0
279.99031939690093,1003.0
280.25871624668997,1001.0
280.5271034404177,1005.0
280.79548097805815,1007.0
281.0638488595852,1014.0
281.33220708497277,1002.0
281.6005556541948,1017.0
281.86889456722514,1041.0
282.13722382403773,985.0
282.4055434246065,1001.0
282.6738533689055,996.0
282.9421536569084,1007.0
283.21044428858926,1000.0
283.47872526392206,1011.0
283.7469965828806,1008.0
284.015258245439,1011.0
284.2835102515709,1019.0
284.5517526012503,1034.0
284.81998529445127,983.0
285.0882083311476,998.0
285.35642171131326,992.0
285.6246254349221,1010.0
285.89281950194817,1011.0
286.1610039123653,1015.0
286.42917866614744,1002.0
286.6973437632684,1002.0
286.9654992037023,1009.0
287.23364498742285,1018.0
287.5017811144041,975.0
287.76990758462,999.0
288.0380243980444,986.0
