Wavelength (nm), Intensity
2.152958829975070216e+02,1.186000000000000000e+03
2.155665965477649593e+02,1.177000000000000000e+03
2.158373004482208160e+02,1.134000000000000000e+03
2.161079946988485290e+02,1.168000000000000000e+03
2.163786792996220072e+02,1.182000000000000000e+03
2.166493542505152163e+02,1.209000000000000000e+03
2.169200195515019800e+02,1.165000000000000000e+03
2.171906752025562639e+02,1.167000000000000000e+03
2.174613212036520338e+02,1.172000000000000000e+03
2.177319575547631416e+02,1.177000000000000000e+03
2.180025842558635816e+02,1.137000000000000000e+03
2.182732013069271773e+02,1.169000000000000000e+03
2.185438087079279228e+02,1.187000000000000000e+03
2.188144064588397271e+02,1.222000000000000000e+03
2.190849945596364989e+02,1.158000000000000000e+03
2.193555730102921189e+02,1.186000000000000000e+03
2.196261418107806094e+02,1.156000000000000000e+03
2.198967009610757941e+02,1.186000000000000000e+03
2.201672504611516388e+02,1.142000000000000000e+03
2.204377903109820238e+02,1.166000000000000000e+03
2.207083205105409434e+02,1.186000000000000000e+03
2.209788410598022494e+02,1.171000000000000000e+03
2.212493519587399078e+02,1.146000000000000000e+03
2.215198532073277988e+02,1.153000000000000000e+03
2.217903448055398314e+02,1.194000000000000000e+03
2.220608267533499998e+02,1.200000000000000000e+03
2.223312990507321558e+02,1.164000000000000000e+03
2.226017616976602369e+02,1.172000000000000000e+03
2.228722146941081803e+02,1.155000000000000000e+03
2.231426580400498665e+02,1.163000000000000000e+03
2.234130917354593180e+02,1.157000000000000000e+03
2.236835157803103016e+02,1.191000000000000000e+03
2.239539301745768398e+02,1.188000000000000000e+03
2.242243349182328416e+02,1.198000000000000000e+03
2.244947300112521873e+02,1.150000000000000000e+03
2.247651154536088427e+02,1.180000000000000000e+03
2.250354912452766882e+02,1.189000000000000000e+03
2.253058573862296896e+02,1.209000000000000000e+03
2.255762138764417273e+02,1.147000000000000000e+03
2.258465607158867670e+02,1.193000000000000000e+03
2.261168979045386607e+02,1.185000000000000000e+03
2.263872254423714026e+02,1.212000000000000000e+03
2.266575433293588446e+02,1.147000000000000000e+03
2.269278515654749526e+02,1.139000000000000000e+03
2.271981501506936070e+02,1.150000000000000000e+03
2.274684390849887734e+02,1.184000000000000000e+03
2.277387183683343892e+02,1.174000000000000000e+03
2.280089880007043064e+02,1.200000000000000000e+03
2.282792479820724623e+02,1.167000000000000000e+03
2.285494983124127657e+02,1.196000000000000000e+03
2.288197389916992108e+02,1.162000000000000000e+03
2.290899700199056497e+02,1.188000000000000000e+03
2.293601913970060195e+02,1.186000000000000000e+03
2.296304031229742293e+02,1.190000000000000000e+03
2.299006051977842446e+02,1.161000000000000000e+03
2.301707976214099460e+02,1.159000000000000000e+03
2.304409803938252708e+02,1.171000000000000000e+03
2.307111535150040709e+02,1.184000000000000000e+03
2.309813169849203689e+02,1.145000000000000000e+03
2.312514708035480453e+02,1.171000000000000000e+03
2.315216149708609805e+02,1.154000000000000000e+03
2.317917494868331403e+02,1.178000000000000000e+03
2.320618743514384619e+02,1.148000000000000000e+03
2.323319895646508257e+02,1.218000000000000000e+03
2.326020951264441692e+02,1.202000000000000000e+03
2.328721910367923726e+02,1.158000000000000000e+03
2.331422772956694018e+02,1.150000000000000000e+03
2.334123539030492225e+02,1.181000000000000000e+03
2.336824208589056298e+02,1.171000000000000000e+03
2.339524781632126178e+02,1.194000000000000000e+03
2.342225258159441239e+02,1.183000000000000000e+03
2.344925638170740285e+02,1.201000000000000000e+03
2.347625921665762974e+02,1.172000000000000000e+03
2.350326108644248109e+02,1.163000000000000000e+03
2.353026199105934495e+02,1.143000000000000000e+03
2.355726193050562642e+02,1.193000000000000000e+03
2.358426090477870218e+02,1.186000000000000000e+03
2.361125891387597164e+02,1.191000000000000000e+03
2.363825595779483137e+02,1.180000000000000000e+03
2.366525203653266658e+02,1.184000000000000000e+03
2.369224715008687383e+02,1.160000000000000000e+03
2.371924129845483833e+02,1.202000000000000000e+03
2.374623448163395665e+02,1.174000000000000000e+03
2.377322669962162252e+02,1.189000000000000000e+03
2.380021795241522682e+02,1.166000000000000000e+03
2.382720824001215760e+02,1.201000000000000000e+03
2.385419756240981428e+02,1.171000000000000000e+03
2.388118591960557922e+02,1.149000000000000000e+03
2.390817331159685466e+02,1.174000000000000000e+03
2.393515973838102866e+02,1.203000000000000000e+03
2.396214519995548358e+02,1.177000000000000000e+03
2.398912969631762735e+02,1.209000000000000000e+03
2.401611322746484518e+02,1.189000000000000000e+03
2.404309579339452796e+02,1.176000000000000000e+03
2.407007739410406373e+02,1.164000000000000000e+03
2.409705802959085190e+02,1.168000000000000000e+03
2.412403769985228337e+02,1.175000000000000000e+03
