Angle (deg),Average Power (nJ)
0.0,3.275581395348836
20.0,1.056821705426356
40.0,1.5667961165048536
60.0,2.346744186046512
80.0,3.679611650485438
100.0,5.612248062015504
120.0,8.504563106796114
140.0,13.246046511627904
160.0,19.231782945736434
180.0,28.97906976744186
200.0,40.01395348837208
220.0,51.25922330097086
240.0,63.941085271317846
260.0,88.39029126213595
280.0,90.80232558139532
300.0,91.91782945736432
320.0,94.59224806201551
340.0,96.24271844660194
